Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	APH(3')-Ia	tet(H)	sul2	tet(D)	tet(Y)	salE	qacG	norA	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	APH(6)-Id	Erm(42)	qacJ	mgrA	APH(3'')-Ib	floR	FusF	dfrC	dfrA14	vanY gene in vanM cluster	PC1 beta-lactamase (blaZ)	ROB-10	norC	msrE	mphE	sdrM	sepA	OXA-2	ANT(2'')-Ia	mdeA	aadA25	vanT gene in vanG cluster	mphC	msrA
PM047	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM048	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM049	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM050	+	+	+	+	-	-	-	-	-	+	+	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM051	+	+	-	+	+	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM052	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM053	+	+	-	+	-	+	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-
PM054	+	+	+	+	-	-	-	-	-	+	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM055	+	+	+	+	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM056	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM057	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM058	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM059	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM060	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM061	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM062	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	+	-	-	+	+	-	-	-	-	+	+	+
PM063	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM064	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM065	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM066	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM067	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM068	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM069	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM070	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM071	+	+	+	+	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM072	+	+	-	+	+	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM073	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-	+	-	-	+	-	+	-	-	+	+	-	-	+	-	-	-	-
PM074	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM075	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM076	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM077	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM078	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM079	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM080	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM081	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM082	+	+	+	+	-	-	-	+	-	+	-	+	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-
PM083	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM084	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM085	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM086	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM087	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM088	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM089	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM090	+	+	+	+	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM091	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM092	+	+	+	+	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM093	+	+	+	+	-	-	-	-	-	+	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM094	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM095	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM096	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM097	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM098	+	+	+	+	-	-	-	-	-	+	+	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM099	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM100	+	+	+	+	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM101	+	+	+	+	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM102	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM103	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PM104	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
